question,answer,source,section,type,difficulty
LLM 模块的整体架构是怎样的？,"2.2.1 LLM 模块 ....................................................................................................... 26 
2.2.2 角色模块.....................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LLM 模块,structure,medium
记忆模块包含哪几个模块？,"目  录∣IX 
 
2.2.3 记忆模块......................................................................................................... 27 
2.2.4 规划模块...........................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",记忆模块,structure,easy
如何理解提示工程？,"2.3.1 提示工程......................................................................................................... 32 
2.3.2 函数调用......................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",提示工程,definition,medium
请总结提示工程的核心要点。,"2.3.1 提示工程......................................................................................................... 32 
2.3.2 函数调用......................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",提示工程,summary,easy
训练优化和推理优化有什么区别？,"2.3.5 训练优化与推理优化 ..................................................................................... 41 
2.4 LLM-Agent 能力评估 ...........................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",训练优化与推理优化,comparison,medium
怎样使用AI Agent 的主要开发框架？,"第 3 章 AI Agent 开发框架与一般步骤 ........................................................................... 47 
3.1 AI Agent 的主要开发框架 ..........................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的主要开发框架,method,easy
如何理解Swarm？,"3.1.3 Swarm ............................................................................................................. 65 
3.1.4 AutoGen ............................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",Swarm,definition,medium
什么是Google Agent Development Kit（ADK）？,"3.1.6 Google Agent Development Kit（ADK） ..................................................... 79 
3.2 从零开始构建通用 AI Agent ................................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",Google Agent Development Kit（ADK）,definition,easy
定义 AI Agent 的核心指令的定义是什么？,"3.2.3 定义 AI Agent 的核心指令 ............................................................................ 83 
3.2.4 定义并优化 AI Agent 的核心工具 ................................................................ 83","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义 AI Agent 的核心指令,definition,easy
如何理解安排 AI Agent 的下一步行动？,"3.2.7 安排 AI Agent 的下一步行动 ........................................................................ 84 
3.2.8 多智能体的设计 ....................................................................................","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",安排 AI Agent 的下一步行动,definition,easy
