question,answer,source,section,type,difficulty,options,correct_index
"____的是，本书并未陷入“炫技式”的技术堆砌，而是始终围绕“如何构建真正可用、可
落地、可扩展的 AI Agent 系统”这一核心命题展开。",尤为难得,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是基于阿里云的 Qwen 基座预训练模型开发的智能客服解决方案，它不仅能理解用户
的问题并提供准确的答案，还能进行复杂的对话管理，实现自动化的客户服务。",通义晓蜜,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是驱动 AI Agent 行为、决策和行动的核心架构，它聚焦于核心功能，由模型（Model）、
工具（Tool）和编排（Orchestration）组成，共同协作处理信息、做出决策并执行任务。",认知架构,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____的是，在实际生产级应用中，我们也要看到三者的关联，它们往往形成“你中有我，
我中有你”的情形。",需要指出,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是行动模块的核心，它通过执行框架来协调和控制任务的执行过程。任务排序、资源
管理和进度监控是执行框架的 3 个关键环节，它们共同确保任务能够按照预定的计划有序执行，并
且在执行过程中能够及时调整和优化。",执行系统,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是从客观世界或虚拟环境中获得的。例如，它可以是游戏的任务完成信号或 AI Agent
采取行动后的观察结果。",环境反馈,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是一种专门针对 LLM（如 GPT-3.5、LLaMA3、Qwen2、DeepSeek-R1 等）的
技术，通过设计和优化输入提示词（Prompt），引导模型输出更准确、更有用、上下文更相关的结
果，其目标是充分利用 LLM 的能力。",提示工程,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",2.3 LLM 常见技术或应用范式,fill_in_blank,easy,,
"____是，LLM 的输出质量在很大程度上取决于输入提示词的质量和结构。好的
提示词可以更清晰地传达任务要求，进而提高 LLM 的表现。",提示工程的核心理念,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是一项能够增强 LLM 功能的机制，通过与外部系统交互来实现特定的操作，而
不仅仅是生成内容。",函数调用机制,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
____是指融合检索内容和用户询问，通过向量相似度计算检索得到“相关文本块”。,信息融合,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是需要多步骤解决的实际问题。使用 GAIA 测试，只需向 AI 助理给出 zero-shot 
prompt。",概念简单但,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
____是指基于人类判断来衡量 LLM-Agent 的能力。,主观评估,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
____是指使用可以随时间计算、比较和跟踪的量化指标来评估自主 LLM-Agent 的能力。,客观评估,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
